Frame,Time (Seconds),stick_right-rotationX,stick_right-rotationY,stick_right-rotationZ,stick_right-rotationW,stick_right-positionX,stick_right-positionY,stick_right-positionZ,stick_left-rotationX,stick_left-rotationY,stick_left-rotationZ,stick_left-rotationW,stick_left-positionX,stick_left-positionY,stick_left-positionZ
4092,34.100000,0.220991,-0.107013,-0.785264,-0.568394,0.169167,0.012684,0.892141,0.407518,0.709749,0.533610,0.213180,-0.536085,-0.127391,1.104165
4093,34.108333,0.218940,-0.109210,-0.785933,-0.567845,0.169919,0.014219,0.893535,0.415434,0.710450,0.526418,0.213449,-0.532154,-0.125190,1.103423
4094,34.116667,0.217115,-0.112683,-0.785721,-0.568160,0.171231,0.015622,0.894865,0.423260,0.710540,0.519660,0.214332,-0.528143,-0.122857,1.102754
4095,34.125000,0.215325,-0.116142,-0.785274,-0.568762,0.172966,0.016897,0.896067,0.430694,0.709947,0.513594,0.216099,-0.524064,-0.120450,1.102140
4096,34.133333,0.215127,-0.119338,-0.784415,-0.569361,0.175046,0.018020,0.897114,0.437234,0.710023,0.507214,0.217781,-0.519951,-0.117993,1.101612
4097,34.141667,0.216143,-0.121219,-0.783865,-0.569337,0.177342,0.018984,0.898033,0.443563,0.708860,0.502239,0.220284,-0.515743,-0.115421,1.101061
4098,34.150000,0.218659,-0.121757,-0.783845,-0.568288,0.179792,0.019762,0.898814,0.449455,0.707544,0.497384,0.223566,-0.511468,-0.112741,1.100459
4099,34.158333,0.222965,-0.120618,-0.784384,-0.566110,0.182308,0.020358,0.899491,0.455208,0.706115,0.492679,0.226838,-0.507165,-0.110014,1.099853
4100,34.166667,0.228081,-0.117430,-0.786046,-0.562424,0.184787,0.020771,0.900125,0.461167,0.704241,0.488339,0.229989,-0.502813,-0.107224,1.099209
4101,34.175000,0.233881,-0.112945,-0.788544,-0.557442,0.187155,0.021037,0.900765,0.466747,0.702416,0.484075,0.233306,-0.498415,-0.104349,1.098507
4102,34.183333,0.239477,-0.107797,-0.792246,-0.550797,0.189357,0.021130,0.901467,0.472148,0.701074,0.479518,0.235870,-0.494039,-0.101465,1.097769
4103,34.191667,0.244142,-0.102228,-0.796967,-0.542944,0.191383,0.021056,0.902224,0.477911,0.699315,0.475148,0.238316,-0.489651,-0.098505,1.096942
4104,34.200000,0.248099,-0.096819,-0.802258,-0.534280,0.193253,0.020768,0.903050,0.483448,0.698033,0.470542,0.240039,-0.485345,-0.095554,1.096016
4105,34.208333,0.251158,-0.091715,-0.807929,-0.525127,0.195087,0.020343,0.903970,0.489157,0.697174,0.464721,0.242298,-0.481085,-0.092574,1.094994
4106,34.216667,0.253594,-0.087493,-0.813412,-0.516135,0.197045,0.019796,0.904970,0.495181,0.696225,0.459235,0.243250,-0.476890,-0.089562,1.093899
4107,34.225000,0.254989,-0.084201,-0.818418,-0.508019,0.199319,0.019114,0.905981,0.501508,0.695228,0.453456,0.243978,-0.472735,-0.086507,1.092746
4108,34.233333,0.256208,-0.082496,-0.822040,-0.501799,0.202129,0.018364,0.906942,0.507252,0.694732,0.447301,0.244877,-0.468613,-0.083419,1.091509
4109,34.241667,0.257018,-0.082563,-0.824633,-0.497097,0.205574,0.017574,0.907884,0.512689,0.693888,0.441894,0.245762,-0.464466,-0.080314,1.090197
4110,34.250000,0.256928,-0.083916,-0.826310,-0.494124,0.209618,0.016767,0.908816,0.517401,0.692999,0.437174,0.246833,-0.460228,-0.077111,1.088770
4111,34.258333,0.256835,-0.085476,-0.827534,-0.491850,0.214126,0.015952,0.909818,0.522114,0.691395,0.432660,0.249351,-0.455891,-0.073909,1.087249
4112,34.266667,0.257394,-0.085736,-0.828779,-0.489410,0.218993,0.015126,0.910935,0.526251,0.689695,0.429102,0.251498,-0.451428,-0.070699,1.085633
4113,34.275000,0.258466,-0.084348,-0.830470,-0.486210,0.224170,0.014198,0.912233,0.530279,0.688234,0.424585,0.254688,-0.446875,-0.067540,1.083947
4114,34.283333,0.260082,-0.081637,-0.832536,-0.482261,0.229594,0.013247,0.913770,0.534785,0.685873,0.420641,0.258156,-0.442205,-0.064330,1.082080
4115,34.291667,0.261537,-0.077342,-0.834845,-0.478174,0.235411,0.012351,0.915591,0.539772,0.683645,0.415539,0.261922,-0.437482,-0.061168,1.080109
4116,34.300000,0.263249,-0.072809,-0.836854,-0.474420,0.241749,0.011498,0.917687,0.545637,0.681803,0.409186,0.264560,-0.432699,-0.058093,1.078047
4117,34.308333,0.264877,-0.068682,-0.838262,-0.471636,0.248637,0.010655,0.919898,0.552335,0.680096,0.402018,0.266041,-0.427915,-0.055046,1.075987
4118,34.316667,0.267324,-0.064954,-0.839167,-0.469168,0.256134,0.009730,0.922216,0.559649,0.678351,0.394413,0.266591,-0.423175,-0.052039,1.073893
4119,34.325000,0.269327,-0.061821,-0.839540,-0.467776,0.264224,0.008743,0.924694,0.566864,0.677045,0.386104,0.266832,-0.418504,-0.049096,1.071692
4120,34.333333,0.270932,-0.059282,-0.839606,-0.467058,0.272817,0.007763,0.927433,0.573471,0.675957,0.378054,0.266998,-0.413886,-0.046256,1.069406
4121,34.341667,0.272075,-0.057680,-0.839691,-0.466441,0.281790,0.006664,0.930466,0.579697,0.674709,0.370108,0.267841,-0.409379,-0.043507,1.067062
4122,34.350000,0.272109,-0.055499,-0.839577,-0.466891,0.291191,0.005590,0.933873,0.584476,0.673741,0.363789,0.268549,-0.404906,-0.040823,1.064645
4123,34.358333,0.272130,-0.053973,-0.839439,-0.467305,0.301015,0.004458,0.937577,0.588614,0.672457,0.358709,0.269562,-0.400500,-0.038166,1.062271
4124,34.366667,0.272721,-0.052792,-0.839019,-0.467849,0.311257,0.003232,0.941555,0.591965,0.670694,0.355257,0.271183,-0.396136,-0.035559,1.059937
4125,34.375000,0.273291,-0.051453,-0.838471,-0.468647,0.321892,0.001926,0.945890,0.594012,0.669073,0.353354,0.273189,-0.391835,-0.032988,1.057659
4126,34.383333,0.273328,-0.050163,-0.837704,-0.470135,0.332956,0.000599,0.950664,0.595287,0.667419,0.352002,0.276187,-0.387610,-0.030477,1.055363
4127,34.391667,0.272231,-0.048997,-0.836826,-0.472454,0.344472,-0.000638,0.955905,0.595961,0.665796,0.351459,0.279326,-0.383478,-0.028061,1.053045
4128,34.400000,0.271255,-0.047583,-0.835281,-0.475880,0.356563,-0.001828,0.961652,0.596445,0.664641,0.350507,0.282224,-0.379462,-0.025736,1.050705
4129,34.408333,0.270730,-0.045616,-0.833086,-0.480200,0.369283,-0.002949,0.967859,0.597218,0.663326,0.348897,0.285657,-0.375496,-0.023532,1.048284
4130,34.416667,0.271239,-0.042939,-0.829883,-0.485674,0.382639,-0.004114,0.974498,0.598565,0.662428,0.346376,0.287981,-0.371564,-0.021417,1.045826
4131,34.425000,0.272024,-0.038904,-0.826352,-0.491560,0.396515,-0.005306,0.981577,0.601132,0.661562,0.342208,0.289601,-0.367710,-0.019448,1.043382
4132,34.433333,0.274183,-0.034048,-0.822337,-0.497419,0.410908,-0.006604,0.989111,0.604792,0.660794,0.336815,0.290058,-0.363899,-0.017531,1.041008
4133,34.441667,0.277131,-0.028662,-0.817357,-0.504287,0.425759,-0.008018,0.997136,0.609652,0.659760,0.330582,0.289406,-0.360078,-0.015689,1.038764
4134,34.450000,0.279880,-0.023132,-0.811463,-0.512504,0.441021,-0.009613,1.005665,0.615189,0.658584,0.323712,0.288131,-0.356288,-0.013914,1.036661
4135,34.458333,0.281838,-0.016771,-0.805332,-0.521274,0.456711,-0.011287,1.014745,0.620997,0.657027,0.317034,0.286647,-0.352518,-0.012176,1.034679
4136,34.466667,0.284099,-0.010900,-0.798191,-0.531094,0.472737,-0.013046,1.024463,0.626401,0.655379,0.310816,0.285471,-0.348790,-0.010522,1.032892
4137,34.475000,0.286639,-0.005167,-0.790336,-0.541462,0.489049,-0.014926,1.034796,0.631133,0.653508,0.305861,0.284688,-0.345118,-0.008922,1.031329
4138,34.483333,0.287867,0.002616,-0.782353,-0.552313,0.505547,-0.017117,1.045628,0.635025,0.651614,0.301931,0.284568,-0.341503,-0.007345,1.030005
4139,34.491667,0.289903,0.009173,-0.773206,-0.563937,0.522239,-0.019520,1.056997,0.638311,0.649332,0.299537,0.284963,-0.338008,-0.005829,1.028961
4140,34.500000,0.290796,0.015573,-0.763655,-0.576217,0.539045,-0.022139,1.068864,0.641038,0.646863,0.298565,0.285479,-0.334627,-0.004352,1.028254
4141,34.508333,0.290899,0.021761,-0.752954,-0.589886,0.555937,-0.025014,1.081239,0.643274,0.644154,0.299175,0.285933,-0.331353,-0.002887,1.027890
4142,34.516667,0.290504,0.028326,-0.741893,-0.603655,0.572781,-0.028138,1.094088,0.645578,0.640900,0.300810,0.286336,-0.328193,-0.001448,1.028043
4143,34.525000,0.290534,0.035686,-0.730032,-0.617551,0.589483,-0.031570,1.107382,0.647462,0.637494,0.303588,0.286756,-0.325155,0.000001,1.028603
4144,34.533333,0.290752,0.043603,-0.717168,-0.631848,0.606047,-0.035320,1.121092,0.649113,0.633887,0.307496,0.286855,-0.322245,0.001443,1.029560
4145,34.541667,0.291219,0.052200,-0.703999,-0.645641,0.622380,-0.039353,1.135175,0.650662,0.630057,0.311704,0.287241,-0.319462,0.002845,1.030960
4146,34.550000,0.292181,0.061188,-0.689355,-0.660058,0.638415,-0.043744,1.149630,0.652227,0.625805,0.316540,0.287699,-0.316784,0.004163,1.032719
4147,34.558333,0.293160,0.071185,-0.674303,-0.674022,0.654046,-0.048428,1.164399,0.653466,0.621899,0.321695,0.287640,-0.314214,0.005470,1.034883
4148,34.566667,0.295406,0.081218,-0.657766,-0.688101,0.669192,-0.053480,1.179430,0.656027,0.616397,0.327072,0.287589,-0.311742,0.006627,1.037512
4149,34.575000,0.297817,0.093466,-0.641095,-0.701118,0.683781,-0.058766,1.194688,0.658496,0.611153,0.333041,0.286287,-0.309296,0.007769,1.040588
4150,34.583333,0.302474,0.105436,-0.625210,-0.711692,0.697711,-0.064166,1.210141,0.662217,0.604839,0.338557,0.284636,-0.306933,0.008850,1.044131
4151,34.591667,0.307297,0.117808,-0.605195,-0.724865,0.710738,-0.069998,1.225690,0.666682,0.598121,0.343972,0.281903,-0.304674,0.009807,1.048124
4152,34.600000,0.313315,0.131168,-0.586839,-0.735016,0.722870,-0.075886,1.241398,0.672042,0.590512,0.349307,0.278640,-0.302474,0.010645,1.052588
4153,34.608333,0.314690,0.147033,-0.568857,-0.745488,0.733784,-0.081564,1.257230,0.677909,0.582472,0.355197,0.273863,-0.300354,0.011379,1.057582
4154,34.616667,0.315485,0.165299,-0.554257,-0.752293,0.743545,-0.087651,1.272961,0.684218,0.573963,0.360516,0.269147,-0.298367,0.011943,1.063067
4155,34.625000,0.321585,0.175677,-0.540806,-0.757133,0.752064,-0.093736,1.288681,0.690449,0.565051,0.366572,0.263861,-0.296497,0.012356,1.068973
4156,34.633333,0.317388,0.191826,-0.527357,-0.764436,0.759303,-0.098901,1.304430,0.695925,0.556756,0.372439,0.258846,-0.294844,0.012571,1.075221
4157,34.641667,0.314284,0.205411,-0.515706,-0.770116,0.765523,-0.104003,1.320010,0.701299,0.547587,0.379248,0.253967,-0.293430,0.012608,1.081964
4158,34.650000,0.310894,0.217441,-0.505558,-0.774903,0.770743,-0.109061,1.335408,0.705932,0.537413,0.388562,0.248728,-0.292365,0.012486,1.089284
4159,34.658333,0.308806,0.228262,-0.498477,-0.777211,0.775066,-0.114241,1.350550,0.708899,0.527635,0.399074,0.244550,-0.291753,0.012228,1.097129
4160,34.666667,0.298378,0.246100,-0.488761,-0.781996,0.778424,-0.118396,1.365348,0.709847,0.518773,0.411113,0.240785,-0.291711,0.011782,1.105385
4161,34.675000,0.287608,0.265301,-0.480146,-0.785084,0.780901,-0.122307,1.379767,0.708925,0.510755,0.424331,0.237694,-0.292302,0.011168,1.113863
4162,34.683333,0.287682,0.276642,-0.475222,-0.784138,0.782547,-0.126826,1.393860,0.706348,0.503356,0.438579,0.235271,-0.293558,0.010384,1.122508
4163,34.691667,,,,,,,,0.703354,0.496294,0.451934,0.233969,-0.295482,0.009415,1.131217
4164,34.700000,,,,,,,,0.700338,0.489035,0.465069,0.232558,-0.298025,0.008202,1.140023
4165,34.708333,,,,,,,,0.697119,0.483006,0.477698,0.229204,-0.301009,0.006904,1.148868
4166,34.716667,,,,,,,,0.694691,0.476720,0.490173,0.223323,-0.304509,0.005420,1.157823
4167,34.725000,,,,,,,,0.692937,0.471490,0.501128,0.215422,-0.308507,0.003778,1.166788
4168,34.733333,0.262333,0.377602,-0.472578,-0.751844,0.772588,-0.142685,1.466166,0.691595,0.467584,0.510592,0.205810,-0.313013,0.001919,1.175730
4169,34.741667,,,,,,,,0.689826,0.465215,0.518927,0.196035,-0.317987,-0.000087,1.184528
4170,34.750000,0.249556,0.397644,-0.472666,-0.745780,0.763472,-0.146156,1.484243,0.687636,0.463080,0.527243,0.186357,-0.323310,-0.002282,1.193038
4171,34.758333,0.238614,0.416638,-0.478524,-0.735181,0.758494,-0.147394,1.492067,0.685441,0.461528,0.534125,0.178527,-0.328907,-0.004653,1.201137
4172,34.766667,0.227070,0.435011,-0.486222,-0.723044,0.753309,-0.148123,1.498829,0.683398,0.460388,0.539921,0.171741,-0.334678,-0.007220,1.208790
4173,34.775000,0.230218,0.438281,-0.488181,-0.718741,0.747493,-0.148333,1.504642,0.681408,0.459424,0.545324,0.165030,-0.340589,-0.009933,1.216021
4174,34.783333,0.224274,0.451980,-0.491235,-0.710002,0.741403,-0.148035,1.509493,0.679770,0.458456,0.550323,0.157722,-0.346694,-0.012899,1.222947
4175,34.791667,0.224566,0.459778,-0.495556,-0.701854,0.734993,-0.147554,1.513311,0.678502,0.457656,0.554906,0.149216,-0.353014,-0.015934,1.229645
4176,34.800000,0.224149,0.469944,-0.505123,-0.688302,0.728293,-0.146309,1.516246,0.677199,0.457968,0.558728,0.139608,-0.359616,-0.019105,1.236168
4177,34.808333,0.220683,0.478376,-0.507914,-0.681527,0.721305,-0.144776,1.518045,0.675795,0.458972,0.562214,0.128692,-0.366434,-0.022303,1.242491
4178,34.816667,0.219996,0.485301,-0.513909,-0.672297,0.714109,-0.142936,1.518880,0.673804,0.461025,0.565192,0.118330,-0.373519,-0.025638,1.248576
4179,34.825000,0.221048,0.488369,-0.519430,-0.665452,0.706803,-0.140633,1.518613,0.670830,0.463140,0.568979,0.108408,-0.380776,-0.029069,1.254395
4180,34.833333,0.225477,0.492773,-0.527060,-0.654632,0.699175,-0.138250,1.517571,0.666965,0.464626,0.573853,0.099869,-0.388186,-0.032646,1.259983
4181,34.841667,0.225527,0.500865,-0.532673,-0.643841,0.691319,-0.135158,1.515600,0.662111,0.465891,0.579641,0.092579,-0.395700,-0.036314,1.265353
4182,34.850000,0.229258,0.505162,-0.539258,-0.633604,0.683291,-0.131989,1.512641,0.656542,0.466619,0.586259,0.086721,-0.403324,-0.040164,1.270546
4183,34.858333,0.232205,0.509365,-0.545715,-0.623557,0.675111,-0.128519,1.508783,0.649992,0.466778,0.594166,0.081217,-0.411052,-0.044095,1.275506
4184,34.866667,0.236203,0.512872,-0.555867,-0.610068,0.666755,-0.124529,1.504126,0.643296,0.466600,0.602173,0.076435,-0.418850,-0.048106,1.280178
4185,34.875000,0.238905,0.514263,-0.564961,-0.599398,0.658395,-0.120555,1.498595,0.635773,0.466061,0.611240,0.070466,-0.426653,-0.052200,1.284530
4186,34.883333,0.241207,0.514991,-0.573547,-0.589617,0.649902,-0.116466,1.492270,0.628104,0.464231,0.621273,0.063197,-0.434460,-0.056373,1.288442
4187,34.891667,0.242227,0.515289,-0.582637,-0.579946,0.641161,-0.112254,1.485137,0.623233,0.468317,0.623209,0.062213,-0.442016,-0.060293,1.292026
4188,34.900000,0.241750,0.513219,-0.594228,-0.570138,0.632051,-0.107829,1.477254,0.616300,0.469581,0.629715,0.055926,-0.449822,-0.064441,1.295165
4189,34.908333,0.238056,0.509052,-0.607369,-0.561514,0.622703,-0.103381,1.468681,0.609098,0.471635,0.635731,0.049044,-0.457717,-0.068563,1.297947
4190,34.916667,0.231093,0.502481,-0.622974,-0.553183,0.613070,-0.098726,1.459463,0.601989,0.475017,0.640420,0.042779,-0.465696,-0.072692,1.300370
4191,34.925000,0.223210,0.493318,-0.640278,-0.544848,0.603254,-0.093999,1.449604,0.595026,0.478472,0.644699,0.037046,-0.473655,-0.076763,1.302394
4192,34.933333,0.213922,0.482229,-0.658312,-0.536952,0.593341,-0.089198,1.439020,0.587601,0.483785,0.647807,0.032002,-0.481534,-0.080871,1.303990
4193,34.941667,0.207494,0.469956,-0.673879,-0.531014,0.583230,-0.084334,1.427959,0.580883,0.489124,0.650040,0.027922,-0.489278,-0.084844,1.305175
4194,34.950000,0.203150,0.454001,-0.688986,-0.527173,0.573070,-0.079249,1.416289,0.573712,0.494841,0.652256,0.023440,-0.496858,-0.088734,1.306054
4195,34.958333,0.195267,0.441815,-0.705642,-0.518402,0.562661,-0.074367,1.404111,0.568467,0.502934,0.650669,0.023082,-0.504260,-0.092508,1.306678
4196,34.966667,0.183877,0.429972,-0.722538,-0.509169,0.552050,-0.069774,1.391425,0.561570,0.506380,0.654149,0.017555,-0.511672,-0.096681,1.307065
4197,34.975000,0.175142,0.416954,-0.736526,-0.502996,0.541187,-0.064799,1.378079,0.555782,0.511015,0.655585,0.013339,-0.518827,-0.100717,1.307259
4198,34.983333,0.167511,0.402144,-0.752711,-0.493606,0.530024,-0.060137,1.364240,0.550878,0.516213,0.655717,0.009626,-0.525703,-0.104700,1.307247
4199,34.991667,0.161733,0.386495,-0.766258,-0.487148,0.518759,-0.055609,1.349759,0.545873,0.520646,0.656453,0.004479,-0.532374,-0.108672,1.307030
4200,35.000000,0.156359,0.371789,-0.779958,-0.478529,0.507271,-0.051000,1.334804,0.541718,0.526325,0.655381,0.000133,-0.538770,-0.112477,1.306548
4201,35.008333,0.151765,0.357848,-0.796609,-0.462953,0.495516,-0.045966,1.319391,0.536912,0.532227,0.654552,-0.004760,-0.545013,-0.116018,1.305746
4202,35.016667,0.149188,0.340407,-0.809120,-0.455183,0.483720,-0.041525,1.303371,0.532827,0.538920,0.652383,-0.007600,-0.550972,-0.119516,1.304563
4203,35.025000,0.145284,0.322801,-0.820476,-0.448899,0.471797,-0.037025,1.286871,0.528199,0.546687,0.649657,-0.009219,-0.556744,-0.122791,1.303027
4204,35.033333,0.141573,0.302684,-0.831402,-0.443971,0.459733,-0.032582,1.269865,0.523493,0.555299,0.646147,-0.009605,-0.562308,-0.125951,1.301100
4205,35.041667,0.138534,0.281512,-0.841847,-0.439151,0.447485,-0.028429,1.252394,0.518638,0.563161,0.643248,-0.009818,-0.567647,-0.128936,1.298794
4206,35.050000,0.137837,0.258879,-0.852047,-0.433588,0.435060,-0.024416,1.234486,0.514046,0.571429,0.639635,-0.009600,-0.572700,-0.131713,1.296160
4207,35.058333,0.138360,0.237061,-0.859901,-0.430383,0.422562,-0.020769,1.216100,0.509511,0.580163,0.635395,-0.009105,-0.577427,-0.134324,1.293206
4208,35.066667,0.140751,0.215035,-0.868147,-0.424582,0.409860,-0.017303,1.197350,0.505726,0.588591,0.630669,-0.007634,-0.581793,-0.136784,1.289985
4209,35.075000,0.145040,0.192371,-0.875658,-0.418544,0.397089,-0.014067,1.178353,0.501924,0.597463,0.625362,-0.005701,-0.585836,-0.139073,1.286461
4210,35.083333,0.150306,0.169950,-0.882000,-0.413040,0.384288,-0.011033,1.159249,0.499222,0.605894,0.619407,-0.002240,-0.589436,-0.141079,1.282538
4211,35.091667,0.156645,0.148388,-0.887077,-0.408091,0.371600,-0.008137,1.140136,0.496813,0.614946,0.612386,0.001245,-0.592600,-0.142844,1.278203
4212,35.100000,0.164634,0.127602,-0.889797,-0.406048,0.359186,-0.005173,1.121153,0.495564,0.623870,0.604293,0.005712,-0.595213,-0.144262,1.273357
4213,35.108333,0.172114,0.109169,-0.891044,-0.405585,0.347078,-0.002317,1.102421,0.495122,0.634298,0.593629,0.011162,-0.597256,-0.145457,1.268055
4214,35.116667,0.180549,0.091911,-0.890409,-0.407586,0.335359,0.000617,1.083962,0.495963,0.644286,0.581905,0.017405,-0.598620,-0.146189,1.262247
4215,35.125000,0.189416,0.076474,-0.888286,-0.411365,0.324098,0.003510,1.065873,0.497985,0.654523,0.568333,0.024662,-0.599295,-0.146619,1.255914
4216,35.133333,0.199780,0.062270,-0.884969,-0.415982,0.313145,0.006146,1.048233,0.500978,0.664366,0.553739,0.031800,-0.599292,-0.146683,1.249177
4217,35.141667,0.210471,0.050589,-0.881520,-0.419601,0.302237,0.008333,1.031331,0.504886,0.673604,0.538282,0.040011,-0.598600,-0.146399,1.241962
4218,35.150000,,,,,,,,0.509469,0.682097,0.522345,0.048379,-0.597114,-0.145710,1.234454
4219,35.158333,,,,,,,,0.514490,0.689715,0.506293,0.057104,-0.594882,-0.144757,1.226711
4220,35.166667,,,,,,,,0.521829,0.695016,0.490091,0.066777,-0.591926,-0.143466,1.218793
4221,35.175000,,,,,,,,0.529938,0.698386,0.475267,0.074464,-0.588358,-0.141913,1.210751
4222,35.183333,,,,,,,,0.538296,0.702484,0.458165,0.082700,-0.584030,-0.139953,1.202574
4223,35.191667,,,,,,,,0.546508,0.705842,0.441302,0.091480,-0.579112,-0.137744,1.194223
4224,35.200000,,,,,,,,0.553106,0.707895,0.427610,0.100539,-0.573819,-0.135393,1.185843
4225,35.208333,,,,,,,,0.554711,0.710173,0.419815,0.108193,-0.568703,-0.133247,1.177715
4226,35.216667,,,,,,,,0.553940,0.709484,0.419505,0.117470,-0.563744,-0.130814,1.169934
4227,35.225000,,,,,,,,0.550267,0.707705,0.423346,0.130914,-0.558992,-0.128487,1.162422
4228,35.233333,,,,,,,,0.542636,0.706134,0.431670,0.143464,-0.554341,-0.126091,1.155239
4229,35.241667,0.274761,-0.039920,-0.887778,-0.367101,0.172465,-0.007693,0.898807,0.534395,0.703896,0.441037,0.156329,-0.549860,-0.123742,1.148292
4230,35.250000,0.272343,-0.046446,-0.889095,-0.364942,0.165564,-0.009385,0.894111,0.526231,0.700956,0.450980,0.168400,-0.545420,-0.121316,1.141547
4231,35.258333,0.267911,-0.051945,-0.889863,-0.365608,0.159451,-0.010473,0.890663,0.517892,0.699647,0.458803,0.178274,-0.541087,-0.119016,1.135063
4232,35.266667,0.261436,-0.058036,-0.890408,-0.368045,0.153921,-0.011091,0.888277,0.510539,0.698529,0.465368,0.186652,-0.536836,-0.116795,1.128721
4233,35.275000,0.253044,-0.065371,-0.890765,-0.371797,0.148909,-0.011391,0.886875,0.504100,0.698220,0.469538,0.194695,-0.532619,-0.114627,1.122493
4234,35.283333,0.242895,-0.073921,-0.891488,-0.375216,0.144321,-0.011504,0.886266,0.498616,0.698549,0.471800,0.202030,-0.528386,-0.112513,1.116374